"filename", "language", "Dart", "comment", "blank", "total"
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/core/.lib.dart", "Dart", 4, 0, 3, 7
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/core/basic/.lib.dart", "Dart", 2, 0, 2, 4
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/core/basic/region.dart", "Dart", 98, 0, 14, 112
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/core/constants.dart", "Dart", 14, 0, 3, 17
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/core/native/native_channel.dart", "Dart", 55, 0, 15, 70
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/core/native/native_function.dart", "Dart", 58, 2, 13, 73
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/core/services/.lib.dart", "Dart", 5, 0, 2, 7
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/core/services/group_animation_service.dart", "Dart", 217, 2, 33, 252
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/core/services/locale_service.dart", "Dart", 450, 6, 96, 552
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/core/services/spring_provide_service.dart", "Dart", 29, 0, 7, 36
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/core/services/theme_service.dart", "Dart", 87, 0, 22, 109
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/main.dart", "Dart", 89, 2, 10, 101
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/ui/.lib.dart", "Dart", 8, 0, 3, 11
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/ui/background_page.dart", "Dart", 393, 0, 41, 434
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/ui/dialogs/.lib.dart", "Dart", 3, 0, 2, 5
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/ui/dialogs/change_locale_dialog.dart", "Dart", 66, 0, 10, 76
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/ui/dialogs/dialog_transition.dart", "Dart", 25, 0, 4, 29
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/ui/dialogs/visit_website_dialog.dart", "Dart", 76, 2, 3, 81
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/ui/home_page.dart", "Dart", 1007, 0, 102, 1109
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/ui/other_page.dart", "Dart", 159, 0, 12, 171
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/ui/settings_page.dart", "Dart", 277, 0, 12, 289
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/ui/skill_page.dart", "Dart", 864, 0, 38, 902
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/ui/widgets/.lib.dart", "Dart", 10, 0, 3, 13
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/ui/widgets/animated_ink_well.dart", "Dart", 73, 0, 13, 86
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/ui/widgets/animation_controller_builder.dart", "Dart", 71, 1, 12, 84
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/ui/widgets/custom_size_transition.dart", "Dart", 36, 0, 4, 40
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/ui/widgets/delay_show.dart", "Dart", 42, 0, 8, 50
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/ui/widgets/detail_button.dart", "Dart", 122, 0, 15, 137
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/ui/widgets/mixin/.lib.dart", "Dart", 3, 0, 2, 5
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/ui/widgets/mixin/region_observer_mixin.dart", "Dart", 20, 0, 5, 25
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/ui/widgets/mixin/route_controller_mixin.dart", "Dart", 71, 0, 14, 85
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/ui/widgets/region_positioned.dart", "Dart", 37, 0, 7, 44
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/ui/widgets/scope_navigator.dart", "Dart", 506, 2, 82, 590
"/Users/guyuesheng/Development/Projects/flutter_project/my_web/lib/ui/widgets/transition_barrier.dart", "Dart", 17, 0, 3, 20
"Total", "-", 4994, 17, 615, 5626